id,name,address,year,agency,amount
622,St. Athanasius Golden Age Club,"2154 61 Street Brooklyn, NY 11204",2013,DFTA,4000.0
623,St. Athanasius Golden Age Club,"2154 61 Street Brooklyn, NY 11204",2013,DFTA,4750.0
624,Hebrew Educational Society,"9502 Seaview Avenue Brooklyn, NY 11236",2011,DYCD,12500.0
625,Hebrew Educational Society,"9502 Seaview Avenue Brooklyn, NY 11236-5432",2012,DYCD,12500.0
626,Hebrew Educational Society,"9502 Seaview Avenue Brooklyn, NY 11236-5432",2013,DYCD,12500.0
627,St. Mark's United Methodist Church,"2017 Beverly Road Brooklyn, NY 11226",2011,DFTA,20000.0
628,St. Mark's United Methodist Church,"2017 Beverley Road Brooklyn, NY 11226",2012,DFTA,19750.0
629,St. Mark's United Methodist Church,"2017 Beverley Road Brooklyn, NY 11226",2012,DFTA,2000.0
630,St. Mark's United Methodist Church,"2017 Beverley Road Brooklyn, NY 11226",2013,DFTA,19750.0
631,St. Paul's Church in the Village,"157 Saint Paul's Place Brooklyn, NY 11226",2012,DOHMH,0.0
632,"Young Men's and Young Women's Hebrew Association of Williamsburg, Inc.","64 Division Avenue Brooklyn, NY 11211",2011,DYCD,3500.0
633,"School Settlement Association, Inc.","120 Jackson Street Brooklyn, NY 11211",2011,DYCD,10000.0
634,"School Settlement Association, Inc.","2 Kingsland Avenue Brooklyn, NY 11211",2012,DYCD,15000.0
635,St. Mel's Leisure Club,"28-20 154th Street Flushing, NY 11354",2011,DFTA,3750.0
636,Italian American Association of St Mel Roman Catholic Church,"26-15 154tjh street Flushing, NY 11354-1546",2012,DFTA,3500.0
637,St. Mel's Athletic Association,,2012,DYCD,5000.0
638,St. Mel's Leisure Club,"26-15 154th Street Flushing, NY 11354-1546",2012,DFTA,3500.0
639,Italian American Association of St. Mel Roman Catholic Church,"26-15 154 street Flushing, NY 11354-1546",2013,DFTA,3500.0
640,St. Mel's Athletic Association,"26-15 154th Street Flushing, NY 11354",2013,DFTA,3500.0
641,Our Lady of Mount Carmel Queens CYO,"23-25 Newtown Avenue Astoria, NY 11102",2011,DYCD,5000.0
642,Our Lady of Mount Carmel Queens CYO,"23-25 Newtown Avenue Astoria, NY 11102",2011,DYCD,8000.0
643,Our Lady of Mount Carmel Queens CYO,"23-25 Newtown Avenue Astoria, NY 11102",2012,DYCD,3500.0
644,Our Lady of Mount Carmel Queens CYO,"23-25 Newtown Avenue Astoria, NY 11102",2012,DYCD,7000.0
645,Grace Church Corp.,"155-24 90th Avenue Jamaica, NY 11432",2011,DYCD,5000.0
646,Grace Church Corp.,"155-24 90th Avenue Jamaica, NY 11432 ",2012,DYCD,5000.0
647,Grace Church Corp.,"155-24 90th Avenue Jamaica, NY 11432",2012,DYCD,4000.0
648,Grace Church Corp.,"155-24 90th Avenue Jamaica, NY 11432",2013,DYCD,5000.0
649,Grace Church Corp.,"155-24 90th Avenue Jamaica, NY 11432",2013,DYCD,4000.0
650,Berean Baptist Church,"1641 Bergen St. Brooklyn, NY 11213",2011,DOHMH,6400.0
651,"Berean Community Family Life Center (formerly, Berean Baptist Church)","1641 Bergen St. Brooklyn, NY 11213",2012,DOHMH,6400.0
652,Concord Baptist Church,"833 Gardner C. Taylor Blvd. Brooklyn, NY 11216",2011,DOHMH,6400.0
653,Concord Baptist Church,"833 Gardner C. Taylor Blvd. Brooklyn, NY 11216",2012,DOHMH,6400.0
654,Corpus Christi Church,"31-30 61st Street Woodside, NY 11377",2011,DYCD,5000.0
655,Corpus Christi Church,"31-30 61st Street Woodside, NY 11377",2011,DFTA,5000.0
656,Corpus Christi Church,"31-30 61st Street Woodside, NY 11377",2011,DYCD,5000.0
657,Corpus Christi Church,"31-30 61st Street Woodside, NY 11377",2011,DYCD,8000.0
658,Corpus Christi Church,"31-30 61st Street Woodside, NY 11377",2011,DYCD,10000.0
659,Corpus Christi Church,"31 - 30 61st Street Woodside, NY 11377-1223",2012,DYCD,10000.0
660,Corpus Christi Sports and Youth Association,"31 - 30 61st Street Woodside, NY 11377-1223",2012,DYCD,5000.0
661,Corpus Christi Sports and Youth Association,"31 - 30 61st Street NY, 11377-1223 Joe Harnischfeger ",2012,DYCD,5000.0
662,Corpus Christi Sports and Youth Association,"31 - 30 61st Street Woodside, NY 11377-1223",2012,DYCD,5500.0
663,Corpus Christi Church,"31-30 61St Street Woodside, NY 11377",2013,DYCD,5000.0
664,Corpus Christi Church,"31 - 30 61st Street Woodside, NY 11377-1435",2013,DYCD,5000.0
665,Roman Catholic Church of Corpus Christi,"31 - 30 61st Street Woodside, NY 11377-1435",2013,DYCD,10000.0
666,Corpus Christi Sports and Youth Association,"31 - 30 61Ststreet Woodside, NY 11377-1435",2013,DYCD,5000.0
667,Emmanuel Baptist Church (Brooklyn),"279 Lafayette Avenue Brooklyn, NY 11238",2011,DFTA,6000.0
668,Emmanuel Baptist Church (Brooklyn),"279 Lafayette Avenue Brooklyn, NY 11238",2011,DOHMH,6400.0
669,Emmanuel Baptist Church (Brooklyn) - Healing Touch Ministry,"279 Lafayette Avenue Brooklyn, NY 11238",2012,DOHMH,6400.0
670,St. Demetrios Senior Center,"84-35 152nd Street Jamaica, NY 11432",2011,DFTA,8000.0
671,St. Demetrios Senior Center,"84-35 152nd Street Jamaica, NY 11432",2012,DFTA,6000.0
672,St. Demetrios Senior Center,"84-35 152nd Street Jamaica, NY 11432",2013,DFTA,6000.0
673,Hellenic Orthodox Community of Astoria,"30-03 30th Drive Astoria, NY 11102",2011,DYCD,5000.0
674,Hellenic Orthodox Community of Astoria,"30-03 30th Drive Astoria, NY 11102",2011,DYCD,5000.0
675,Hellenic Orthodox Community of Astoria,"30-11 30th Drive Astoria, NY 11102",2012,DYCD,2000.0
676,Hellenic Orthodox Community of Astoria,"30-11 30th Drive Astoria, NY 11102",2012,DYCD,5000.0
677,Hellenic Orthodox Community of Astoria,"30-11 30th Drive Astoria, NY 11102",2012,DYCD,1500.0
678,Hellenic Orthodox Community of Astoria,"30 -11 30th Drive Astoria, NY 11102",2013,DYCD,10000.0
679,"National Council of Jewish Women, Inc. - Brooklyn Section","1001 Quentin Road Brooklyn, NY 11223",2011,DFTA,6000.0
680,"National Council of Jewish Women, Inc. - Brooklyn Section","1001 Quentin Road Brooklyn, NY 11223-2341 ",2012,DFTA,6000.0
681,Our Lady of Perpetual Help Baseball /Soccer League,"OLPH Soccer League Brooklyn, NY 11209",2013,DYCD,4000.0
682,Our Lady of Perpetual Help Baseball /Soccer League,"OLPH Soccer League Brooklyn, NY 11209",2013,DYCD,2000.0
683,Roman Catholic Church of the Sacred Heart,"215-35 38th Avenue Bayside, NY 11361",2011,DYCD,5000.0
684,Sacred Heart Seniors Community Guild,"83-17 78th Avenue Glendale, NY 11385",2011,DFTA,2000.0
685,Sacred Heart Seniors Community Guild,"83-17 78th Avenue Glendale, NY 11385",2011,DFTA,1000.0
686,St. Kevin's Senior Club,"45-21 194th Street Flushing, NY 11358",2011,DFTA,3750.0
687,St. Kevin's Senior Club,"45-21 194th Street Flushing, NY 11358",2012,DFTA,3500.0
688,St. Kevin's Senior Club,"45-21 194th Street Flushing, NY 11358",2013,DFTA,3500.0
689,St. Kevin's Senior Club,"45-21 194th Street Flushing, NY 11358",2013,DFTA,3500.0
690,Blessed Sacrament Church,"198 Euclid Avenue Brooklyn, NY",2010,DYCD,9500.0
691,Blessed Sacrament Church,"198 Euclid Avenue Brooklyn, NY",2011,DYCD,9500.0
692,Blessed Sacrament Church,"198 Euclid Avenue Brooklyn, NY",2012,DYCD,9500.0
693,Vanderveer Park United Methodist Church ,"3114 Glenwood Road Brooklyn, NY 11210",2011,DYCD,4000.0
694,Congregation Beth Elohim,"274 Garfield Place Brooklyn, NY 11215",2011,DYCD,3500.0
695,Congregation Beth Elohim,"274 Garfield Place Brooklyn, NY 11215",2012,DYCD,3500.0
696,Congregation Beth Elohim,"274 Garfield Place Brooklyn, NY 11215",2013,DYCD,3500.0
697,Rego Park Jewish Center,"97-30 Queens Boulevard Rego Park, NY 11374",2011,DFTA,8200.0
698,Rego Park Jewish Center,"97-30 Queens Boulevard Rego Park, NY 11374",2012,DYCD,8200.0
699,Rego Park Jewish Center,"97-30 Queens Blvd Rego Park, NY 11374",2013,DFTA,8200.0
700,St. Virgilius Golden Age,"210 Noel Road Broad Channel, NY 11693",2011,DFTA,5000.0
701,St. Virgilius Golden Age,"16 Noel Road Broad Channel, NY 11693",2012,DFTA,5000.0
702,St. Virgilius Golden Age,"16 Noel Road Broad Channel, NY 11693",2013,DFTA,5000.0
703,St. Paul's Lutheran Church of Williamsburg,"334 South 5th Street New York, NY 11211",2011,DYCD,5000.0
704,St. Camillus Golden Age Club,"99-15 Rockaway Beach Boulevard Rockaway Park, NY 11693",2011,DFTA,5000.0
705,St. Camillus Golden Age Club,"99-15 Rockaway Beach Boulevard Rockaway, NY 11694",2012,DFTA,5000.0
706,St. Camillus Golden Age Club,"99-15 Rockaway Beach Boulevard Queens, NY 11694",2013,DFTA,5000.0
707,St. Joan of Arc Church,"82-00 35th Avenue Elmhurst, NY 11373",2011,DFTA,3500.0
708,St. Joan of Arc Church,"82-00 35th Avenue Jackson Heights, NY 11372",2011,DYCD,7500.0
709,St. Joan of Arc,"8200 35th Avenue Jackson Heights, NY 11372",2012,DFTA,3500.0
710,St. Joan of Arc,"8200 35th Avenue Jackson Heights, NY 11372",2013,DFTA,3500.0
711,St. Joan of Arc,"82-00 35th ave queens, NY 11372",2013,DYCD,5000.0
712,"Jewish Center of Jackson Heights, The","37-06 77th Street Jackson Heights, NY 11372",2011,DFTA,15000.0
713,"Jewish Center of Jackson Heights, The","37-06 77th Street Jackson Heights, NY 11372",2011,DYCD,15000.0
714,"Jewish Center of Jackson Heights, The","37-06 77th Street Jackson Heights, NY 11372",2012,DFTA,15000.0
715,"Jewish Center of Jackson Heights, The","37-06 77th Street Jackson Heights, NY 11372",2012,DYCD,10000.0
716,"Jewish Center of Jackson Heights, The","37-06 77th Street Jackson Heights, NY 11372",2013,DFTA,15000.0
717,"Jewish Center of Jackson Heights, The","37-06 77th Street Jackson Heights, NY 11372",2013,DYCD,15000.0
718,Immanuel & First Spanish United Methodist Church,"424-422 Dean Street Brooklyn, NY 11217",2012,DOHMH,6400.0
719,Church of the Open Door,"201 Gold Street Brooklyn, NY 11201",2011,DFTA,5750.0
720,Church of the Open Door,"201 Gold Street Brooklyn, NY 11201",2011,DYCD,10000.0
721,St. Matthias Church,"58-15 Catalpa Avenue Ridgewood, NY 11385",2010,DYCD,9000.0
722,St. Matthias Sports Association,"58-15 Catalpa Avenue Ridgewood, NY 11385",2011,DYCD,3500.0
723,St. Matthias Sports Association,"58-15 Catalpa Avenue Ridgewood, NY 11385",2012,DYCD,3500.0
724,St. Matthias Sports Association,"58-15 Catalpa Avenue Ridgewood, NY 11385",2013,DYCD,8000.0
725,Most Precious Blood Roman Catholic Church,"70 Bay 47th Street Brooklyn, NY 11214",2011,DFTA,5000.0
726,Most Precious Blood Roman Catholic Church,"70 Bay 47th Street Brooklyn, NY 11214",2012,DFTA,5250.0
727,"Sephardic Home for the Aged, Inc.","2266 Cropsey Avenue Brooklyn, NY 11214",2011,DFTA,13000.0
728,"Sephardic Home for the Aged, Inc.","2266 Cropsey Avenue Brooklyn, NY 11214",2013,DFTA,8000.0
729,Our Lady of Grace Roman Catholic Church,"430 Avenue W Brooklyn, NY 11223",2011,DFTA,5000.0
730,Our Lady of Grace Roman Catholic Church,"430 Avenue W Brooklyn, NY 11223",2011,DFTA,15000.0
731,Our Lady of Grace Roman Catholic Church,"430 Avenue W Brooklyn, NY 11223",2012,DFTA,5000.0
732,Our Lady of Grace Roman Catholic Church,"430 Avenue W Brooklyn, NY 11223",2012,DFTA,15000.0
733,"Safe Space, Inc.","295 Lafayette Street, Suite 920 New York, NY 10012",2011,DYCD,5000.0
734,"Safe Space, Inc.","295 Lafayette Street, Suite 920 New York, NY 10012",2011,DYCD,168000.0
735,"Safe Space, Inc.","295 Lafayette Street, Suite 920 New York, NY 10012",2011,DOHMH,200000.0
736,"Safe Space, Inc.","296 Lafayette Street, Suite 920 New York, NY 10012",2012,DYCD,70000.0
737,"Safe Space, Inc.","295 Lafayette Street Manhattan, NY 10012",2012,DOHMH,200000.0
738,"Safe Space, Inc.","89-74 162 Street Jamaica, NY 11432",2012,DYCD,5000.0
739,"Safe Space, Inc.","295 Lafayette Street, Suite 920 New York, NY 10012",2012,DYCD,168000.0
740,"Safe Space, Inc.","89-74 162 Street Jamaica, NY 11432",2013,DYCD,5000.0
741,St. Nicholas of Tolentine,"150-75 Goethals Avenue Jamaica, NY 11432",2011,DFTA,6000.0
742,St. Nicholas of Tolentine,"150-75 Goethals Avenue Jamaica, NY 11432",2011,DYCD,7000.0
743,St. Nicholas of Tolentine,"150-75 Goethals Ave Jamaica, NY 11432",2012,DFTA,4000.0
744,St. Nicholas of Tolentine,"150-75 Goethals Ave Jamaica, NY 11432",2012,DYCD,7000.0
745,St. Nicholas of Tolentine,"150-75 Goethals Ave Jamaica, NY 11432",2013,DFTA,3500.0
746,St. Nicholas of Tolentine,"150-75 Goethals Ave Jamaica, NY 11432",2013,DYCD,7000.0
747,Congregation Skeiras Israel Of Bay Ridge,"405 81st Street Brooklyn, NY 11209",2013,DYCD,2000.0
748,Our Lady of the Miraculous Medal,"62-81 60th Place Ridgewood, NY 11379",2011,DYCD,5000.0
749,Our Lady of the Miraculous Medal,"62-81 60th Place Maspeth, NY 11378",2012,DYCD,7000.0
750,Maggie's Little Theater at St. Margaret Parish,"66-05 79th Place Middle Village, NY 11379",2011,DYCD,3000.0
751,St. Margaret's Senior Program,"66-05 79th Street Middle Village, NY 11379",2011,DFTA,2000.0
752,St. Margaret's Sports Association,"66-05 79th Place Middle Village, NY 11379",2011,DYCD,4500.0
753,Youth Group of St. Margaret and Our Lady of Hope,"3902 Richmond Avenue Staten Island, NY 10312",2011,DYCD,4500.0
754,Maggie's Little Theater at St. Margaret Parish,"66-05 79th Place Middle Village, NY 11379",2012,DYCD,4000.0
755,Saint Margarets Senior Club,"66-05 79th Place Middle Village, NY 11379",2012,DFTA,3500.0
756,St. Margaret's Sports Association,"66-05 79th Place Middle Village, NY 11379",2012,DYCD,8000.0
757,Maggie's Little Theater at St. Margaret Parish,"66-05 79th Place Middle Village, NY 11379",2013,DYCD,4000.0
758,St. Margaret's Sports Association,"66-05 79th Place Middle Village, NY 11379",2013,DYCD,8500.0
759,"Jacob A. Riis Neighborhood Settlement House, Inc.","10-25 41st Avenue Long Island City, NY 11101",2011,DFTA,21250.0
760,"Jacob A. Riis Neighborhood Settlement House, Inc.","10-25 41st Avenue Long Island City, NY 11101",2011,DYCD,49000.0
761,"Jacob A. Riis Neighborhood Settlement House, Inc.","10-25 41st Avenue Long Island City, NY 11101",2011,DYCD,17738.1
762,"Jacob A. Riis Neighborhood Settlement House, Inc.","10-25- 41st Avenue Long Island City, NY 11101",2012,DFTA,21250.0
763,"Jacob A. Riis Neighborhood Settlement House, Inc.","10-25- 41st Avenue Long Island City, NY 11101",2012,DYCD,49000.0
764,"Jacob A. Riis Neighborhood Settlement House, Inc.","10-25 41st Avenue Long Island City, NY 11101",2012,DYCD,17000.0
765,"Jacob A. Riis Neighborhood Settlement House, Inc.","Jacob A Riis Neighborhood Settlement House Long Island City, NY 11101-7308",2013,DFTA,21250.0
766,"Jacob A. Riis Neighborhood Settlement House, Inc.","Jacob A Riis Neighborhood Settlement House Long Island City, NY 11101-7308",2013,DYCD,49000.0
767,Jacob A. Riis Neighborhood Settlement,"10-25 41st Avenue Long Island City, NY 11101",2010,DFTA,6100.48
768,St. Joseph's College,"245 Clinton Avenue Brooklyn, NY 11205-3688",2012,DYCD,3500.0
769,St. Joseph's College,"245 Clinton Avenue Brooklyn, NY 11205",2013,DYCD,5000.0
770,"Child Center of New York, Inc.","60-02 Queens Boulevard Woodside, NY 11377",2010,DOHMH,47500.0
771,"Child Center of New York, Inc.","60-02 Queens Boulevard Woodside, NY 11377",2010,DOHMH,47500.0
772,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11373",2011,DYCD,5000.0
773,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11373",2011,DYCD,5000.0
774,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2011,DYCD,5000.0
775,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11373",2011,DYCD,5000.0
776,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11373",2011,DYCD,5500.0
777,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11373",2011,DYCD,10000.0
778,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11373",2011,DOHMH,115000.0
779,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11373",2011,DOHMH,45000.0
780,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11373",2011,DOHMH,40000.0
781,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11373",2011,DOHMH,40000.0
782,"Child Center of New York, Inc., The",,2011,DYCD,5000.0
783,"Child Center of NY, Inc., The",,2012,DOHMH,37400.0
784,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2012,DYCD,5500.0
785,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2012,DYCD,10000.0
786,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377 ",2012,DYCD,5000.0
787,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2012,DYCD,10000.0
788,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2012,DYCD,6000.0
789,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2012,DYCD,5000.0
790,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2012,DYCD,16214.0
791,"Child Center of New York, Inc., The","60-02 Queens Boulevard Queens, NY 11357",2012,DOHMH,115000.0
792,"Child Center of New York, Inc., The","60-02 Queens Boulevard Queens, NY 11357",2012,DOHMH,45000.0
793,"Child Center of New York, The","115-15 Sutphin Blvd Queens, NY 11434",2012,DOHMH,6400.0
794,"Child Center of NY, Inc., The",,2012,DOHMH,33660.0
795,"Child Center of New York, Inc., The","60-02 Queens Boulevard Queens, NY 11357",2013,DOHMH,45000.0
796,"Child Center of NY, Inc., The","Queens, NY",2013,DOHMH,34000.0
797,"Child Center of NY, Inc., The","Queens, NY",2013,DOHMH,37000.0
798,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2013,DYCD,5000.0
799,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2013,DYCD,5000.0
800,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2013,DYCD,2500.0
801,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2013,DYCD,3500.0
802,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2013,DYCD,10000.0
803,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2013,DYCD,16500.0
804,"Child Center of New York, Inc., The","60-02 Queens Boulevard Woodside, NY 11377",2013,DYCD,8214.0
805,All Saints Episcopal Church,"43-12 46th Street Sunnyside, NY 11104",2011,DOHMH,6400.0
806,All Saints Episcopal Church,"43-12 46th Street Queens, NY 11104",2012,DOHMH,6400.0
807,"Rabbi Israel Meyer Hacohen Rabbinical Seminary of America, Inc.","69-10 75th Street Middle Village, NY 11379",2010,DFTA,6100.48
808,"Rabbi Israel Meyer Hacohen Rabbinical Seminary of America, Inc.","69-10 75th Street Middle Village, NY 11379",2010,DFTA,6100.48
809,"Rabbi Israel Meyer Hacohen Rabbinical Seminary of America, Inc.","69-10 75th Street Middle Village, NY 11379",2011,DFTA,3500.0
810,"Rabbi Israel Meyer Hacohen Rabbinical Seminary of America, Inc.","69-10 75th Street Middle Village, NY 11379",2011,DFTA,28000.0
811,"Rabbi Israel Meyer Hacohen Rabbinical Seminary of America, Inc.","69-10 75th Street Middle Village, NY 11379",2011,DFTA,10000.0
812,"Rabbi Israel Meyer Hacohen Rabbinical Seminary of America, Inc.","69-10 75 Street MIDDLE VILLAGE, NY 11379",2012,DFTA,18000.0
813,"Rabbi Israel Meyer Hacohen Rabbinical Seminary of America, Inc.","69-10 75 Street MIDDLE VILLAGE, NY 11379",2012,DFTA,20000.0
814,"Rabbi Israel Meyer Hacohen Rabbinical Seminary of America, Inc.","69-10 75 Street MIDDLE VILLAGE, NY 11379",2012,DFTA,3500.0
815,"Rabbi Israel Meyer Hacohen Rabbinical Seminary of America, Inc.","69-10 75th Street Middle Village, NY 11379",2013,DFTA,30000.0
816,"Rabbi Israel Meyer Hacohen Rabbinical Seminary of America, Inc.","69-10 75th Street Middle Village, NY 11379",2013,DFTA,3500.0
817,Church of the Immaculate Conception Jamaica New York,"86-45 Edgerton Boulevard Jamaica, NY 11432",2012,DYCD,5000.0
818,Church of the Immaculate Conception Jamaica New York ,"86-45 Edgerton Boulevard Jamaica, NY 11432",2012,DFTA,5000.0
819,Church of the Immaculate Conception Jamaica New York,"86-45 Edgerton Blvd Jamaica, NY 11432",2013,DFTA,4000.0
820,Church of the Immaculate Conception Jamaica New York,"86-45 Edgerton Boulevard Jamaica, NY 11432",2013,DYCD,5000.0
821,Jackson Heights Community Methodist Church,"81-10 35th Avenue Jackson Heights, NY 11372",2011,DOHMH,6400.0
822,Community Methodist Church of Jackson Heights,"81-10 35th Avenue Queens, NY 11372",2012,DOHMH,6400.0
823,New Chapter Academy f/k/a Holy Trinity Community School,"199-10 112th Avenue St. Albans, NY 11412",2011,DYCD,3500.0
824,New Chapter Academy f/k/a Holy Trinity Community School,"199-10 112TH AVE SAINT ALBANS, NY 11412",2012,DYCD,3500.0
825,St. Simon and Jude Senior Group,"185 Van Sicklen Street Brooklyn, NY 11214",2011,DFTA,5000.0
826,St. Simon and Jude Senior Group,"185 Van Sicklen St Brooklyn, NY 11223",2012,DFTA,5000.0
827,"Bronx Dance Theater, Inc.","585 East 187th Street Bronx, NY",2010,DCA,20000.0
828,"Bronx Dance Theater, Inc.","585 East 187th Street Bronx, NY",2010,DCA,20000.0
829,"Bronx Dance Theater, Inc.","585 East 187th Street Bronx, NY",2010,DCA,20000.0
830,"Bronx Dance Theater, Inc.","585 East 187th Street Bronx, NY",2010,DCA,20000.0
831,"Bronx Dance Theater, Inc.","585 East 187th Street Bronx, NY",2010,DCA,20000.0
832,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street, Suite 656 Brooklyn, NY 11201",2011,DCA,3500.0
833,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street, Suite 656 Brooklyn, NY 11201",2011,DCA,5000.0
834,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street, Suite 656 Brooklyn, NY 11201",2011,DCA,10000.0
835,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street, Suite 656 Brooklyn, NY 11201",2011,DCA,15875.0
836,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street, Suite 656 Brooklyn, NY 11201",2011,DCA,35000.0
837,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street, Suite 656 Brooklyn, NY 11201",2011,DCA,5500.0
838,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street, Suite 656 Brooklyn, NY 11201",2011,DCA,20000.0
839,"Brooklyn Philharmonic Symphony Orchestra, Inc","55 Washington Street Brooklyn, NY 11201",2012,DCA,20000.0
840,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street Suite 656 Brooklyn, NY 11201",2012,DCA,21375.0
841,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street Brooklyn, NY 11201",2012,DCA,3500.0
842,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street Suite 656 Brooklyn, NY 11201",2012,DCA,10000.0
843,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street Suite 656 Brooklyn, NY 11201",2012,DCA,3500.0
844,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street Suite 656 Brooklyn, NY 11215",2012,DYCD,3500.0
845,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street Brooklyn, NY 11201",2013,DCLA,21375.0
846,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street Brooklyn, NY 11201",2013,DCLA,3500.0
847,"Brooklyn Philharmonic Symphony Orchestra, Inc.","55 Washington Street Brooklyn, NY 11201",2013,DYCD,3500.0
848,Free Synagogue of Flushing,"41-60 Kissena Boulevard Flushing, NY 11355-3139",2013,DYCD,6000.0
849,St. Peters Lutheran Church,"105 Highland Place Brooklyn, NY 11208",2011,DYCD,20000.0
850,St. Peters Lutheran Church,"105 Highland Place Brooklyn, NY 11208-1222",2013,DYCD,20000.0
851,"Corona Congregational Church, Inc.","102-19 34th Avenue Corona, NY 11368",2011,DFTA,18750.0
852,"Corona Congregational Church, Inc.","102-18 34th Avenue Corona, NY 11368",2012,DFTA,18750.0
853,"Corona Congregational Church, Inc.","102-18 34th Avenue Corona, NY 11368",2013,DFTA,20000.0
854,Corona Congregational Church,"102-19 34th Avenue Corona, NY 11368",2010,DFTA,6100.48
855,St. Nicholas Greek Orthodox Church,"196-10 Northern Boulevard Flushing, NY 11358",2011,DYCD,5000.0
856,"Reform Temple of Forest Hills, The","71-11 112th Street Forest Hills, NY 11375",2011,DYCD,10000.0
857,"Reform Temple of Forest Hills, The","71-11 112th Street Forest Hills, NY 11375",2012,DYCD,10000.0
858,"Reform Temple of Forest Hills, The","71-11 112th Street Forest HIlls, NY 11375",2013,DYCD,10000.0
859,"Queensboro Council for Social Welfare, Inc.","221-10 Jamaica Avenue, Suite 107 Queens Village, NY 11428",2011,DFTA,2350.0
860,"Queensboro Council for Social Welfare, Inc.","221-10 Jamaica Avenue, Suite 107 Queens Village, NY 11428",2011,DFTA,3500.0
861,"Queensboro Council for Social Welfare, Inc.","221-10 Jamaica Avenue, Suite 107 Queens Village, NY 11428",2011,DFTA,3750.0
862,"Queensboro Council for Social Welfare, Inc.","221-10 Jamaica Avenue, Suite 107 Queens Village, NY 11428",2011,DFTA,5000.0
863,"Queensboro Council for Social Welfare, Inc.","221-10 Jamaica Avenue, Suite 107 Queens Village, NY 11428",2011,DFTA,10000.0
864,"Queensboro Council for Social Welfare, Inc.","221-10 Jamaica Avenue, Suite 107 Queens Village, NY 11428",2011,DFTA,10000.0
865,"Queensboro Council for Social Welfare, Inc.","221-10 Jamaica Avenue, Suite 107 Queens Village, NY 11428",2011,MISC,31250.0
866,"Queensboro Council for Social Welfare, Inc.","221-10 Jamaica Avenue, Suite 107 Queens Village, NY 11428",2011,HPD,13114.0
867,"Queensboro Council for Social Welfare, Inc.","221-10 Jamaica Avenue, Suite 107 Queens Village, NY 11428",2011,DFTA,4000.0
868,"Queensboro Council for Social Welfare, Inc.",,2012,HPD,13114.0
869,"Queensboro Council for Social Welfare, Inc.","221-10 Jamaica Avenue, Suite 107 Queens Village, NY 11428",2012,MISC,31250.0
870,"Queensboro Council for Social Welfare, Inc.","27-40 Hoyt Avenue South Astoria, NY 11102-1986",2012,DFTA,10000.0
871,"Queensboro Council for Social Welfare, Inc.","27-40 Hoyt Avenue South Astoria, NY 11102-1986",2012,DFTA,6000.0
872,"Queensboro Council for Social Welfare, Inc.","27-40 Hoyt Avenue South Astoria, NY 11102-1986",2012,DFTA,2350.0
